DATA INICIAL,DATA FINAL,REGIÃO,NÚMERO DE POSTOS PESQUISADOS,PREÇO MÉDIO REVENDA
2012-12-30,2013-01-05,CENTRO OESTE,606,1.962
2012-12-30,2013-01-05,NORDESTE,1481,2.191
2012-12-30,2013-01-05,NORTE,359,2.314
2012-12-30,2013-01-05,SUDESTE,4236,1.885
2012-12-30,2013-01-05,SUL,1491,2.084
2012-12-30,2013-01-05,CENTRO OESTE,604,2.82
2012-12-30,2013-01-05,NORDESTE,1623,2.736
2012-12-30,2013-01-05,NORTE,595,2.894
2012-12-30,2013-01-05,SUDESTE,4284,2.729
2012-12-30,2013-01-05,SUL,1566,2.776
2012-12-30,2013-01-05,CENTRO OESTE,934,42.149
2012-12-30,2013-01-05,NORDESTE,1299,38.122
2012-12-30,2013-01-05,NORTE,721,40.86
2012-12-30,2013-01-05,SUDESTE,3457,40.479
2012-12-30,2013-01-05,SUL,1641,40.653
2012-12-30,2013-01-05,CENTRO OESTE,5,1.982
2012-12-30,2013-01-05,NORDESTE,122,1.789
2012-12-30,2013-01-05,NORTE,1,1.95
2012-12-30,2013-01-05,SUDESTE,284,1.664
2012-12-30,2013-01-05,SUL,87,1.935
2012-12-30,2013-01-05,CENTRO OESTE,555,2.253
2012-12-30,2013-01-05,NORDESTE,1219,2.102
2012-12-30,2013-01-05,NORTE,508,2.281
2012-12-30,2013-01-05,SUDESTE,3360,2.125
2012-12-30,2013-01-05,SUL,1171,2.137
2012-12-30,2013-01-05,CENTRO OESTE,4,2.32
2012-12-30,2013-01-05,NORDESTE,175,2.164
2012-12-30,2013-01-05,NORTE,7,2.196
2012-12-30,2013-01-05,SUDESTE,49,2.216
2012-12-30,2013-01-05,SUL,49,2.2
2013-01-06,2013-01-12,CENTRO OESTE,607,1.995
2013-01-06,2013-01-12,NORDESTE,1476,2.2
2013-01-06,2013-01-12,NORTE,373,2.318
2013-01-06,2013-01-12,SUDESTE,4247,1.895
2013-01-06,2013-01-12,SUL,1478,2.083
2013-01-06,2013-01-12,CENTRO OESTE,604,2.826
2013-01-06,2013-01-12,NORDESTE,1616,2.742
2013-01-06,2013-01-12,NORTE,594,2.898
2013-01-06,2013-01-12,SUDESTE,4285,2.737
2013-01-06,2013-01-12,SUL,1566,2.775
2013-01-06,2013-01-12,CENTRO OESTE,932,42.183
2013-01-06,2013-01-12,NORDESTE,1301,38.102
2013-01-06,2013-01-12,NORTE,721,40.963
2013-01-06,2013-01-12,SUDESTE,3457,40.515
2013-01-06,2013-01-12,SUL,1642,40.709
2013-01-06,2013-01-12,CENTRO OESTE,6,1.976
2013-01-06,2013-01-12,NORDESTE,130,1.814
2013-01-06,2013-01-12,SUDESTE,309,1.666
2013-01-06,2013-01-12,SUL,79,1.939
2013-01-06,2013-01-12,CENTRO OESTE,548,2.254
2013-01-06,2013-01-12,NORDESTE,1242,2.105
2013-01-06,2013-01-12,NORTE,509,2.281
2013-01-06,2013-01-12,SUDESTE,3308,2.125
2013-01-06,2013-01-12,SUL,1169,2.139
2013-01-06,2013-01-12,CENTRO OESTE,17,2.39
2013-01-06,2013-01-12,NORDESTE,227,2.182
2013-01-06,2013-01-12,NORTE,44,2.286
2013-01-06,2013-01-12,SUDESTE,182,2.223
2013-01-06,2013-01-12,SUL,75,2.228
2013-01-13,2013-01-19,CENTRO OESTE,608,2.01
2013-01-13,2013-01-19,NORDESTE,1487,2.2
2013-01-13,2013-01-19,NORTE,368,2.324
2013-01-13,2013-01-19,SUDESTE,4239,1.882
2013-01-13,2013-01-19,SUL,1481,2.084
2013-01-13,2013-01-19,CENTRO OESTE,604,2.833
2013-01-13,2013-01-19,NORDESTE,1619,2.746
2013-01-13,2013-01-19,NORTE,593,2.899
2013-01-13,2013-01-19,SUDESTE,4286,2.724
2013-01-13,2013-01-19,SUL,1570,2.771
2013-01-13,2013-01-19,CENTRO OESTE,932,42.156
2013-01-13,2013-01-19,NORDESTE,1300,38.056
2013-01-13,2013-01-19,NORTE,721,41.015
2013-01-13,2013-01-19,SUDESTE,3460,40.429
2013-01-13,2013-01-19,SUL,1642,40.795
2013-01-13,2013-01-19,CENTRO OESTE,10,1.968
2013-01-13,2013-01-19,NORDESTE,117,1.813
2013-01-13,2013-01-19,SUDESTE,268,1.661
2013-01-13,2013-01-19,SUL,73,1.95
2013-01-13,2013-01-19,CENTRO OESTE,538,2.256
2013-01-13,2013-01-19,NORDESTE,1225,2.11
2013-01-13,2013-01-19,NORTE,515,2.285
2013-01-13,2013-01-19,SUDESTE,3320,2.121
2013-01-13,2013-01-19,SUL,1144,2.136
2013-01-13,2013-01-19,CENTRO OESTE,64,2.411
2013-01-13,2013-01-19,NORDESTE,389,2.182
2013-01-13,2013-01-19,NORTE,114,2.301
2013-01-13,2013-01-19,SUDESTE,423,2.228
2013-01-13,2013-01-19,SUL,223,2.234
2013-01-20,2013-01-26,CENTRO OESTE,608,2.01
2013-01-20,2013-01-26,NORDESTE,1470,2.223
2013-01-20,2013-01-26,NORTE,363,2.324
2013-01-20,2013-01-26,SUDESTE,4235,1.889
2013-01-20,2013-01-26,SUL,1481,2.087
2013-01-20,2013-01-26,CENTRO OESTE,604,2.832
2013-01-20,2013-01-26,NORDESTE,1622,2.751
2013-01-20,2013-01-26,NORTE,593,2.898
2013-01-20,2013-01-26,SUDESTE,4283,2.732
2013-01-20,2013-01-26,SUL,1568,2.773
2013-01-20,2013-01-26,CENTRO OESTE,932,42.181
2013-01-20,2013-01-26,NORDESTE,1299,38.164
2013-01-20,2013-01-26,NORTE,721,42.145
2013-01-20,2013-01-26,SUDESTE,3458,40.498
2013-01-20,2013-01-26,SUL,1619,40.783
2013-01-20,2013-01-26,CENTRO OESTE,8,1.984
2013-01-20,2013-01-26,NORDESTE,122,1.824
2013-01-20,2013-01-26,NORTE,1,1.95
2013-01-20,2013-01-26,SUDESTE,280,1.645
2013-01-20,2013-01-26,SUL,72,1.942
2013-01-20,2013-01-26,CENTRO OESTE,553,2.257
2013-01-20,2013-01-26,NORDESTE,1208,2.118
2013-01-20,2013-01-26,NORTE,504,2.288
2013-01-20,2013-01-26,SUDESTE,3277,2.126
2013-01-20,2013-01-26,SUL,1151,2.138
